#PPSN:75
#DOU:Fri Feb 05 08:01:18 EST 2010
Time,Latitude,Longitude,Acceleration,Light,Temperature,Sound,Temperature Probe,Pedometer,Altitude
02/05/2010 07:43:25,,,0.98,0.00,0.91,7,17.389657980082035541195476575121163,0, 
02/05/2010 07:43:27,,,0.98,0.00,0.91,5,17.389657980082035541195476575121163,0, 
02/05/2010 07:43:28,,,0.98,0.00,0.59,5,17.389657980082035541195476575121163,0, 
02/05/2010 07:43:29,,,0.98,0.00,0.59,5,17.389657980082035541195476575121163,0, 
02/05/2010 07:43:30,,,0.98,0.00,0.59,6,17.389657980082035541195476575121163,0, 
02/05/2010 07:43:31,,,0.98,0.00,0.59,6,17.285516622193548387096774193548387,0, 
02/05/2010 07:43:32,,,0.98,0.00,0.26,7,17.285516622193548387096774193548387,0, 
02/05/2010 07:43:33,,,0.98,0.00,0.26,6,17.285516622193548387096774193548387,0, 
02/05/2010 07:43:34,,,0.98,0.00,0.26,7,17.285516622193548387096774193548387,0, 
02/05/2010 07:43:35,,,0.98,0.00,0.26,8,17.285516622193548387096774193548387,0, 
02/05/2010 07:43:36,,,0.98,0.00,-0.06,6,17.181227161564605475040257648953301,0, 
02/05/2010 07:43:37,,,0.98,0.00,-0.06,9,17.181227161564605475040257648953301,0, 
02/05/2010 07:43:38,,,0.98,0.00,-0.06,11,17.181227161564605475040257648953301,0, 
02/05/2010 07:43:39,,,0.98,0.00,-0.06,8,17.181227161564605475040257648953301,0, 
02/05/2010 07:43:40,,,0.98,0.00,-0.06,6,17.076789533929517684887459807073955,0, 
02/05/2010 07:43:41,,,0.98,0.00,-0.06,7,17.076789533929517684887459807073955,0, 
02/05/2010 07:43:42,,,0.98,0.00,-0.38,4,17.076789533929517684887459807073955,0, 
02/05/2010 07:43:43,,,0.98,0.00,-0.38,6,17.076789533929517684887459807073955,0, 
02/05/2010 07:43:44,,,0.98,0.00,-0.38,6,16.972203675435216693418940609951846,0, 
02/05/2010 07:43:45,,,0.98,0.00,-0.38,6,16.972203675435216693418940609951846,0, 
02/05/2010 07:43:47,,,0.98,0.00,-0.70,5,16.972203675435216693418940609951846,0, 
02/05/2010 07:43:48,,,0.98,0.00,-0.70,7,16.972203675435216693418940609951846,0, 
02/05/2010 07:43:49,,,0.98,0.00,-0.70,7,16.972203675435216693418940609951846,0, 
02/05/2010 07:43:50,,,0.98,0.00,-0.70,9,16.867469522637948717948717948717949,0, 
02/05/2010 07:43:51,,,0.98,0.00,-0.70,7,16.867469522637948717948717948717949,0, 
02/05/2010 07:43:52,,,0.98,0.00,-0.70,5,16.867469522637948717948717948717949,0, 
02/05/2010 07:43:53,,,0.98,0.00,-1.03,7,16.867469522637948717948717948717949,0, 
02/05/2010 07:43:54,,,0.98,0.00,-1.03,7,16.867469522637948717948717948717949,0, 
02/05/2010 07:43:55,,,0.98,0.00,-1.03,7,16.76258701250,0, 
02/05/2010 07:43:56,,,0.98,0.00,-1.03,5,16.76258701250,0, 
02/05/2010 07:43:57,,,0.98,0.00,-1.03,5,16.76258701250,0, 
02/05/2010 07:43:58,,,0.98,0.00,-1.35,7,16.76258701250,0, 
02/05/2010 07:43:59,,,0.98,0.00,-1.35,7,16.657556082386453674121405750798722,0, 
02/05/2010 07:44:00,,,0.98,0.00,-1.35,6,16.657556082386453674121405750798722,0, 
02/05/2010 07:44:01,,,0.98,0.00,-1.35,4,16.657556082386453674121405750798722,0, 
02/05/2010 07:44:02,,,0.98,0.00,-1.35,7,16.657556082386453674121405750798722,0, 
02/05/2010 07:44:03,,,0.98,0.00,-1.67,5,16.552376670061977671451355661881978,0, 
02/05/2010 07:44:04,,,0.98,0.00,-1.35,8,16.552376670061977671451355661881978,0, 
02/05/2010 07:44:06,,,0.98,0.00,-1.67,5,16.552376670061977671451355661881978,0, 
02/05/2010 07:44:07,,,0.98,0.00,-1.67,6,16.552376670061977671451355661881978,0, 
02/05/2010 07:44:08,,,0.98,0.00,-1.67,6,16.552376670061977671451355661881978,0, 
02/05/2010 07:44:09,,,0.98,0.00,-1.99,6,16.447048713687643312101910828025478,0, 
02/05/2010 07:44:10,,,0.98,0.00,-1.99,5,16.447048713687643312101910828025478,0, 
02/05/2010 07:44:11,,,0.98,0.00,-1.99,6,16.447048713687643312101910828025478,0, 
02/05/2010 07:44:12,,,0.98,0.00,-1.99,7,16.447048713687643312101910828025478,0, 
02/05/2010 07:44:13,,,0.98,0.00,-1.99,5,16.341572151817774244833068362480127,0, 
02/05/2010 07:44:14,,,0.98,0.00,-1.99,4,16.341572151817774244833068362480127,0, 
02/05/2010 07:44:15,,,0.98,0.00,-1.99,7,16.341572151817774244833068362480127,0, 
02/05/2010 07:44:16,,,0.98,0.00,-2.31,5,16.341572151817774244833068362480127,0, 
02/05/2010 07:44:17,,,0.98,0.00,-2.31,6,16.341572151817774244833068362480127,0, 
02/05/2010 07:44:18,,,0.98,0.00,-2.31,6,16.235946923396825396825396825396825,0, 
02/05/2010 07:44:19,,,0.98,0.00,-2.31,8,16.235946923396825396825396825396825,0, 
02/05/2010 07:44:20,,,0.98,0.00,-2.31,9,16.235946923396825396825396825396825,0, 
02/05/2010 07:44:21,,,0.98,0.00,-2.31,5,16.235946923396825396825396825396825,0, 
02/05/2010 07:44:22,,,0.98,0.00,-2.64,7,16.235946923396825396825396825396825,0, 
02/05/2010 07:44:23,,,0.98,0.00,-2.64,6,16.130172967756291600633914421553090,0, 
02/05/2010 07:44:25,,,0.98,0.00,-2.64,6,16.130172967756291600633914421553090,0, 
02/05/2010 07:44:26,,,0.98,0.00,-2.64,6,16.130172967756291600633914421553090,0, 
02/05/2010 07:44:27,,,0.98,0.00,-2.64,7,16.130172967756291600633914421553090,0, 
02/05/2010 07:44:28,,,0.98,0.00,-2.64,6,16.024250224611645569620253164556962,0, 
02/05/2010 07:44:29,,,0.98,0.00,-2.64,6,16.024250224611645569620253164556962,0, 
02/05/2010 07:44:30,,,0.98,0.00,-2.96,8,16.024250224611645569620253164556962,0, 
02/05/2010 07:44:31,,,0.98,0.00,-2.96,8,16.024250224611645569620253164556962,0, 
02/05/2010 07:44:32,,,0.98,0.00,-2.96,5,16.024250224611645569620253164556962,0, 
02/05/2010 07:44:33,,,0.98,0.00,-2.96,6,15.918178634059304897314375987361769,0, 
02/05/2010 07:44:34,,,0.98,0.00,-2.96,7,15.918178634059304897314375987361769,0, 
02/05/2010 07:44:35,,,0.98,0.00,-3.28,4,15.918178634059304897314375987361769,0, 
02/05/2010 07:44:36,,,0.98,0.00,-3.28,5,15.918178634059304897314375987361769,0, 
02/05/2010 07:44:37,,,0.98,0.00,-3.28,9,15.811958136573627760252365930599369,0, 
02/05/2010 07:44:38,,,0.98,0.00,-3.28,7,15.811958136573627760252365930599369,0, 
02/05/2010 07:44:39,,,0.98,0.00,-3.28,8,15.811958136573627760252365930599369,0, 
02/05/2010 07:44:40,,,0.98,0.00,-3.28,6,15.811958136573627760252365930599369,0, 
02/05/2010 07:44:41,,,0.98,0.00,-3.60,6,15.811958136573627760252365930599369,0, 
02/05/2010 07:44:42,,,0.98,0.00,-3.60,6,15.705588673003937007874015748031496,0, 
02/05/2010 07:44:44,,,0.98,0.00,-3.60,5,15.705588673003937007874015748031496,0, 
02/05/2010 07:44:45,,,0.98,0.00,-3.60,7,15.705588673003937007874015748031496,0, 
02/05/2010 07:44:46,,,0.98,0.00,-3.60,8,15.705588673003937007874015748031496,0, 
02/05/2010 07:44:47,,,0.98,0.00,-3.60,5,15.599070184571572327044025157232704,0, 
02/05/2010 07:44:48,,,0.98,0.00,-3.60,6,15.599070184571572327044025157232704,0, 
02/05/2010 07:44:49,,,0.98,0.00,-3.60,7,15.599070184571572327044025157232704,0, 
02/05/2010 07:44:50,,,0.98,0.00,-3.93,4,15.599070184571572327044025157232704,0, 
02/05/2010 07:44:51,,,0.98,0.00,-3.93,6,15.599070184571572327044025157232704,0, 
02/05/2010 07:44:52,,,0.98,0.00,-3.93,4,15.492402612866970172684458398744113,0, 
02/05/2010 07:44:53,,,0.98,0.00,-3.93,4,15.492402612866970172684458398744113,0, 
02/05/2010 07:44:54,,,0.98,0.00,-3.93,6,15.492402612866970172684458398744113,0, 
02/05/2010 07:44:55,,,0.98,0.00,-3.93,7,15.492402612866970172684458398744113,0, 
02/05/2010 07:44:56,,,0.98,0.00,-4.25,5,15.492402612866970172684458398744113,0, 
02/05/2010 07:44:57,,,0.98,0.00,-4.25,7,15.385585899846771159874608150470219,0, 
02/05/2010 07:44:58,,,0.98,0.00,-4.25,7,15.385585899846771159874608150470219,0, 
02/05/2010 07:44:59,,,0.98,0.00,-4.25,7,15.385585899846771159874608150470219,0, 
02/05/2010 07:45:00,,,0.98,0.00,-4.25,4,15.385585899846771159874608150470219,0, 
02/05/2010 07:45:01,,,0.98,0.00,-4.25,5,15.278619987830954616588419405320814,0, 
02/05/2010 07:45:02,,,0.98,0.00,-4.25,6,15.278619987830954616588419405320814,0, 
02/05/2010 07:45:04,,,0.98,0.00,-4.25,5,15.278619987830954616588419405320814,0, 
02/05/2010 07:45:05,,,0.98,0.00,-4.57,8,15.278619987830954616588419405320814,0, 
02/05/2010 07:45:06,,,0.98,0.00,-4.57,8,15.278619987830954616588419405320814,0, 
02/05/2010 07:45:07,,,0.98,0.00,-4.57,5,15.17150481950,0, 
02/05/2010 07:45:08,,,0.98,0.00,-4.57,5,15.17150481950,0, 
02/05/2010 07:45:09,,,0.98,0.00,-4.57,6,15.17150481950,0, 
02/05/2010 07:45:10,,,0.98,0.00,-4.89,5,15.17150481950,0, 
02/05/2010 07:45:11,,,0.98,0.00,-4.57,7,15.064240337892074882995319812792512,0, 
02/05/2010 07:45:12,,,0.98,0.00,-4.89,6,15.064240337892074882995319812792512,0, 
02/05/2010 07:45:13,,,0.98,0.00,-4.89,5,15.064240337892074882995319812792512,0, 
02/05/2010 07:45:14,,,0.98,0.00,-4.89,6,15.064240337892074882995319812792512,0, 
02/05/2010 07:45:15,,,0.98,0.00,-4.89,5,15.064240337892074882995319812792512,0, 
02/05/2010 07:45:16,,,0.98,0.00,-4.89,6,14.956826486400249221183800623052960,0, 
02/05/2010 07:45:17,,,0.98,0.00,-4.89,7,14.956826486400249221183800623052960,0, 
02/05/2010 07:45:18,,,0.98,0.00,-5.21,5,14.956826486400249221183800623052960,0, 
02/05/2010 07:45:19,,,0.98,0.00,-5.21,5,14.956826486400249221183800623052960,0, 
02/05/2010 07:45:20,,,0.98,0.00,-5.21,5,14.956826486400249221183800623052960,0, 
02/05/2010 07:45:21,,,0.98,0.00,-5.21,5,14.849263208769735614307931570762053,0, 
02/05/2010 07:45:23,,,0.98,0.00,-5.21,6,14.849263208769735614307931570762053,0, 
02/05/2010 07:45:24,,,0.98,0.00,-5.21,6,14.849263208769735614307931570762053,0, 
02/05/2010 07:45:25,,,0.98,0.00,-5.21,6,14.849263208769735614307931570762053,0, 
02/05/2010 07:45:26,,,0.98,0.00,-5.21,5,14.741550449095155279503105590062112,0, 
02/05/2010 07:45:27,,,0.98,0.00,-5.21,8,14.741550449095155279503105590062112,0, 
02/05/2010 07:45:28,,,0.98,0.00,-5.54,5,14.741550449095155279503105590062112,0, 
02/05/2010 07:45:29,,,0.98,0.00,-5.54,5,14.741550449095155279503105590062112,0, 
02/05/2010 07:45:30,,,0.98,0.00,-5.54,6,14.741550449095155279503105590062112,0, 
02/05/2010 07:45:31,,,0.98,0.00,-5.54,5,14.633688151817829457364341085271318,0, 
02/05/2010 07:45:32,,,0.98,0.00,-5.54,10,14.633688151817829457364341085271318,0, 
02/05/2010 07:45:33,,,0.98,0.00,-5.54,5,14.633688151817829457364341085271318,0, 
02/05/2010 07:45:34,,,0.98,0.00,-5.54,6,14.633688151817829457364341085271318,0, 
02/05/2010 07:45:35,,,0.98,0.00,-5.54,5,14.525676261723095975232198142414861,0, 
02/05/2010 07:45:36,,,0.98,0.00,-5.86,6,14.525676261723095975232198142414861,0, 
02/05/2010 07:45:37,,,0.98,0.00,-5.86,4,14.525676261723095975232198142414861,0, 
02/05/2010 07:45:38,,,0.98,0.00,-5.86,5,14.525676261723095975232198142414861,0, 
