time,light,temperature,temperature probe
09/09/2010 08:29:15,802.63,21.53,14.83815
09/09/2010 08:29:16,802.63,21.53,14.83815
09/09/2010 08:29:17,802.63,21.53,14.83815
09/09/2010 08:29:18,802.63,21.53,14.83815
09/09/2010 08:29:19,802.63,21.53,14.83815
09/09/2010 08:29:20,802.63,21.53,14.83815
09/09/2010 08:29:20,802.63,21.53,14.83815
09/09/2010 08:29:23,802.63,21.53,14.83815
09/09/2010 08:29:24,802.63,21.53,14.9506
09/09/2010 08:29:25,802.63,21.53,14.9506
09/09/2010 08:29:26,802.63,21.53,14.9506
09/09/2010 08:29:27,802.63,21.53,14.9506
09/09/2010 08:29:28,802.63,21.53,14.83815
09/09/2010 08:29:29,802.63,21.53,14.83815
09/09/2010 08:29:30,802.63,21.53,14.83815
09/09/2010 08:29:31,802.63,21.53,14.83815
09/09/2010 08:29:32,802.63,21.53,14.7257
09/09/2010 08:29:33,802.63,21.53,14.7257
09/09/2010 08:29:34,802.63,21.53,14.61325
09/09/2010 08:29:35,802.63,21.53,14.61325
09/09/2010 08:29:37,802.63,21.53,14.7257
09/09/2010 08:29:38,802.63,21.53,14.61325
09/09/2010 08:29:39,802.63,21.53,14.7257
09/09/2010 08:29:40,801.39,21.53,14.7257
09/09/2010 08:29:41,802.63,21.53,14.7257
09/09/2010 08:29:42,801.39,21.53,14.7257
09/09/2010 08:29:43,801.39,21.53,14.61325
09/09/2010 08:29:44,801.39,21.53,14.7257
09/09/2010 08:29:45,801.39,21.53,14.7257
09/09/2010 08:29:46,801.39,21.53,14.83815
09/09/2010 08:29:47,801.39,21.21,14.83815
09/09/2010 08:29:48,801.39,21.53,14.9506
09/09/2010 08:29:49,801.39,21.21,14.9506
09/09/2010 08:29:49,801.39,21.53,14.9506
09/09/2010 08:29:52,801.39,21.53,14.9506
09/09/2010 08:29:53,801.39,21.53,15.06305
09/09/2010 08:29:54,801.39,21.53,15.06305
09/09/2010 08:29:55,801.39,21.21,15.06305
09/09/2010 08:29:56,801.39,21.21,15.1755
09/09/2010 08:29:57,801.39,21.21,15.06305
09/09/2010 08:29:58,801.39,21.21,14.9506
09/09/2010 08:29:59,801.39,21.21,14.9506
09/09/2010 08:30:00,801.39,21.21,14.83815
09/09/2010 08:30:01,801.39,21.21,14.83815
09/09/2010 08:30:01,801.39,21.21,14.7257
09/09/2010 08:30:03,801.39,21.21,14.7257
09/09/2010 08:30:04,801.39,21.21,14.7257
09/09/2010 08:30:06,801.39,21.21,14.7257
09/09/2010 08:30:07,801.39,21.21,14.7257
09/09/2010 08:30:08,801.39,21.21,14.7257
09/09/2010 08:30:09,801.39,21.21,14.83815
09/09/2010 08:30:10,801.39,21.21,14.83815
09/09/2010 08:30:11,801.39,21.21,14.9506
09/09/2010 08:30:12,801.39,21.21,14.9506
09/09/2010 08:30:13,801.39,21.21,14.9506
09/09/2010 08:30:14,801.39,21.21,15.06305
09/09/2010 08:30:15,801.39,21.21,15.06305
09/09/2010 08:30:16,801.39,21.21,15.1755
09/09/2010 08:30:17,800.16,21.21,15.1755
09/09/2010 08:30:18,800.16,21.21,15.28795
09/09/2010 08:30:20,801.39,21.21,15.28795
09/09/2010 08:30:21,800.16,21.21,15.28795
09/09/2010 08:30:22,800.16,21.21,15.1755
09/09/2010 08:30:23,800.16,21.21,15.06305
09/09/2010 08:30:24,800.16,21.21,14.9506
09/09/2010 08:30:25,800.16,21.21,14.83815
09/09/2010 08:30:26,800.16,21.21,14.7257
09/09/2010 08:30:27,800.16,21.21,14.7257
09/09/2010 08:30:28,800.16,21.21,14.7257
09/09/2010 08:30:29,800.16,21.21,14.7257
09/09/2010 08:30:30,800.16,21.21,14.7257
09/09/2010 08:30:30,800.16,21.21,14.83815
09/09/2010 08:30:32,800.16,21.21,14.9506
09/09/2010 08:30:33,800.16,21.21,14.9506
09/09/2010 08:30:35,800.16,21.21,14.9506
09/09/2010 08:30:36,800.16,21.21,14.9506
09/09/2010 08:30:37,800.16,21.21,15.06305
09/09/2010 08:30:38,800.16,21.21,15.06305
09/09/2010 08:30:39,800.16,21.21,15.06305
09/09/2010 08:30:40,800.16,21.21,15.06305
09/09/2010 08:30:41,800.16,21.21,15.06305
09/09/2010 08:30:42,800.16,21.21,15.06305
09/09/2010 08:30:43,800.16,21.21,14.9506
09/09/2010 08:30:44,800.16,21.21,14.9506
09/09/2010 08:30:45,800.16,21.21,14.83815
09/09/2010 08:30:46,800.16,21.21,14.9506
09/09/2010 08:30:47,800.16,21.21,14.9506
09/09/2010 08:30:47,800.16,21.21,14.83815
09/09/2010 08:30:50,798.92,21.21,14.83815
09/09/2010 08:30:51,800.16,21.21,14.7257
09/09/2010 08:30:52,798.92,21.21,14.7257
09/09/2010 08:30:53,800.16,21.21,14.61325
09/09/2010 08:30:54,798.92,21.21,14.61325
09/09/2010 08:30:55,798.92,21.21,14.61325
09/09/2010 08:30:56,798.92,21.21,14.61325
09/09/2010 08:30:57,798.92,21.21,14.61325
09/09/2010 08:30:58,798.92,21.21,14.61325
09/09/2010 08:30:59,798.92,21.21,14.61325
09/09/2010 08:31:00,798.92,21.21,14.61325
09/09/2010 08:31:01,798.92,21.21,14.61325
09/09/2010 08:31:02,798.92,21.21,14.7257
09/09/2010 08:31:02,798.92,21.21,14.7257
09/09/2010 08:31:05,798.92,21.21,14.61325
09/09/2010 08:31:06,798.92,21.21,14.5008
09/09/2010 08:31:07,798.92,21.21,14.5008
09/09/2010 08:31:08,798.92,21.21,14.5008
09/09/2010 08:31:09,798.92,21.21,14.5008
09/09/2010 08:31:10,798.92,21.21,14.5008
09/09/2010 08:31:11,798.92,21.21,14.5008
09/09/2010 08:31:12,798.92,21.21,14.5008
09/09/2010 08:31:13,798.92,21.21,14.38835
09/09/2010 08:31:14,798.92,21.21,14.38835
09/09/2010 08:31:14,798.92,21.21,14.38835
09/09/2010 08:31:16,798.92,21.21,14.38835
09/09/2010 08:31:17,798.92,21.21,14.38835
09/09/2010 08:31:19,798.92,21.21,14.38835
09/09/2010 08:31:20,798.92,21.21,14.38835
09/09/2010 08:31:21,798.92,21.21,14.38835
09/09/2010 08:31:22,798.92,21.21,14.38835
09/09/2010 08:31:23,798.92,21.21,14.38835
09/09/2010 08:31:24,798.92,21.21,14.38835
09/09/2010 08:31:25,798.92,20.89,14.38835
09/09/2010 08:31:26,798.92,21.21,14.2759
09/09/2010 08:31:27,798.92,21.21,14.38835
09/09/2010 08:31:28,797.69,20.89,14.5008
09/09/2010 08:31:29,797.69,20.89,14.5008
09/09/2010 08:31:30,797.69,20.89,14.38835
09/09/2010 08:31:31,797.69,20.89,14.38835
09/09/2010 08:31:32,797.69,20.89,14.5008
09/09/2010 08:31:34,797.69,20.89,14.5008
09/09/2010 08:31:35,797.69,20.89,14.61325
09/09/2010 08:31:36,797.69,20.89,14.61325
09/09/2010 08:31:37,797.69,20.89,14.61325
09/09/2010 08:31:38,797.69,20.89,14.61325
09/09/2010 08:31:39,797.69,20.89,14.61325
09/09/2010 08:31:40,797.69,20.89,14.61325
09/09/2010 08:31:41,797.69,20.89,14.61325
09/09/2010 08:31:42,797.69,20.89,14.7257
09/09/2010 08:31:43,797.69,20.89,14.83815
09/09/2010 08:31:44,797.69,20.89,14.9506
09/09/2010 08:31:45,797.69,20.89,14.9506
09/09/2010 08:31:46,797.69,20.89,14.83815
09/09/2010 08:31:48,797.69,20.89,14.83815
09/09/2010 08:31:49,797.69,20.89,14.7257
09/09/2010 08:31:50,797.69,20.89,14.7257
09/09/2010 08:31:51,797.69,20.89,14.7257
09/09/2010 08:31:52,797.69,20.89,14.7257
09/09/2010 08:31:53,797.69,20.89,14.7257
09/09/2010 08:31:54,797.69,20.89,14.61325
09/09/2010 08:31:55,797.69,20.89,14.61325
09/09/2010 08:31:56,797.69,20.89,14.5008
09/09/2010 08:31:57,797.69,20.89,14.5008
09/09/2010 08:31:58,797.69,20.89,14.5008
09/09/2010 08:31:58,797.69,20.89,14.5008
09/09/2010 08:32:00,797.69,20.89,14.5008
