time,latitude,longitude,acceleration,light,temperature,sound
529,,,0.98,51.91,22.50,7
530,42.78734,-71.10698,1.05,33.35,22.50,6
531,42.78734,-71.10698,1.09,20.90,22.50,3
532,42.787354,-71.107,1.13,31.28,22.50,3
533,42.787354,-71.107,1.05,27.13,22.50,5
534,42.787354,-71.107,1.56,22.98,22.18,10
535,42.787354,-71.107,1.33,25.06,22.18,7
536,42.78734,-71.10702,1.05,18.82,22.18,9
537,42.78734,-71.10702,1.02,31.28,22.18,5
538,42.787354,-71.10702,0.94,22.98,22.18,3
539,42.78737,-71.10703,0.90,179.68,22.18,21
540,,,1.05,106.71,22.18,23
541,42.78737,-71.10702,1.05,14.65,22.50,4
542,42.787354,-71.107,1.13,14.65,22.50,4
543,42.787354,-71.10698,1.13,12.56,22.50,7
544,42.78731,-71.10693,1.25,14.65,22.50,4
545,42.78731,-71.10692,1.09,6.29,22.50,22
546,42.78731,-71.10693,1.02,6.29,22.18,17
547,42.78734,-71.10695,1.02,18.82,22.18,11
548,42.787354,-71.106964,1.33,22.98,22.18,11
549,42.78737,-71.106964,1.02,22.98,22.18,3
550,,,1.09,16.73,21.86,27
551,,,1.05,16.73,21.86,2
552,42.787403,-71.10702,0.86,10.47,21.86,11
553,42.787403,-71.10702,0.94,4.19,21.86,3
554,,,1.48,2.10,21.86,28
555,,,1.25,6.29,21.86,20
556,,,1.21,0.00,21.86,17
557,42.78742,-71.10703,1.29,6.29,21.86,6
558,,,1.02,51.91,21.86,5
559,42.78742,-71.10705,1.02,29.21,21.86,3
560,42.787388,-71.10705,1.21,37.49,21.86,6
561,,,0.98,31.28,21.86,22
562,,,0.98,22.98,21.86,5
563,,,1.13,12.56,21.86,23
564,42.78737,-71.10708,1.09,12.56,21.86,12
565,42.78737,-71.10708,0.78,12.56,21.86,4
566,42.787388,-71.10708,1.09,16.73,21.86,5
567,42.787388,-71.10706,0.94,31.28,21.86,5
568,42.787388,-71.10706,0.82,16.73,21.86,22
569,,,1.02,25.06,21.86,6
570,,,1.02,27.13,21.86,11
571,42.787403,-71.10708,1.02,18.82,21.86,27
572,42.787403,-71.10708,1.02,20.90,21.86,12
573,42.787403,-71.10708,1.02,22.98,21.86,16
574,42.787388,-71.10708,1.02,25.06,21.86,30
575,42.787388,-71.10708,1.05,29.21,21.86,11
576,42.787388,-71.10708,0.98,18.82,21.86,21
577,42.787388,-71.10708,1.02,357.51,21.86,22
578,42.787354,-71.10708,0.90,290.94,21.86,40
579,42.787354,-71.10708,0.98,318.22,21.86,12
580,42.78734,-71.10709,0.98,336.19,21.86,15
581,,,0.98,345.11,21.86,15
582,,,0.94,198.98,21.86,10
583,,,0.94,168.02,21.86,40
584,,,0.90,120.71,21.86,20
585,,,0.82,189.35,21.86,11
586,,,0.98,375.08,21.86,43
587,42.787403,-71.10706,0.98,327.23,21.86,13
588,42.78742,-71.10705,0.98,361.04,21.86,6
589,,,0.98,303.72,22.18,5
590,,,0.98,290.94,21.86,11
591,,,0.98,325.43,21.86,3
592,,,0.98,294.60,21.86,19
593,,,0.98,214.29,22.18,7
594,,,0.98,179.68,21.86,11
595,,,0.98,301.90,21.86,5
596,,,0.98,255.79,22.18,4
597,,,0.98,310.99,22.18,39
598,42.78742,-71.10703,0.98,330.82,21.86,17
599,42.78742,-71.10703,0.98,369.83,22.18,3
600,42.787403,-71.10702,1.17,359.28,21.86,4
