time,latitude,longitude,light,temperature,sound,temperature probe,altitude
06/03/2010 10:43:49,42.669735,-71.426636,1079.75,29.91,4,29.611921074653061224489795918367347,58
06/03/2010 10:43:50,42.669735,-71.426636,1081.19,29.91,8,29.611921074653061224489795918367347,58
06/03/2010 10:43:51,42.66972,-71.426636,1082.62,30.23,5,29.697566216779100204498977505112474,58
06/03/2010 10:43:52,42.66972,-71.426636,1076.86,30.23,13,29.697566216779100204498977505112474,58
06/03/2010 10:43:53,42.66972,-71.426636,1080.47,30.23,1,29.697566216779100204498977505112474,59
06/03/2010 10:43:54,42.66972,-71.42665,1081.19,30.23,2,29.697566216779100204498977505112474,58
06/03/2010 10:43:55,42.669735,-71.42667,1076.86,30.23,4,29.697566216779100204498977505112474,58
06/03/2010 10:43:56,42.669735,-71.42667,1077.58,30.23,3,29.697566216779100204498977505112474,58
06/03/2010 10:43:57,42.66975,-71.42668,1076.86,30.23,9,29.697566216779100204498977505112474,58
06/03/2010 10:43:59,42.66975,-71.426704,1077.58,30.23,16,29.697566216779100204498977505112474,58
06/03/2010 10:44:00,42.66975,-71.426704,1076.86,30.23,10,29.783077089725901639344262295081967,58
06/03/2010 10:44:01,42.669765,-71.42672,1080.47,30.23,2,29.783077089725901639344262295081967,58
06/03/2010 10:44:02,42.669785,-71.426735,1082.62,30.56,1,29.783077089725901639344262295081967,58
06/03/2010 10:44:03,42.669785,-71.426735,1082.62,30.56,0,29.783077089725901639344262295081967,58
06/03/2010 10:44:04,42.669785,-71.42675,1082.62,30.56,9,29.783077089725901639344262295081967,58
06/03/2010 10:44:05,42.6698,-71.42675,1081.91,30.56,3,29.783077089725901639344262295081967,58
06/03/2010 10:44:06,42.6698,-71.42675,1079.75,30.56,1,29.783077089725901639344262295081967,58
06/03/2010 10:44:07,42.669785,-71.42675,1079.03,30.56,2,29.783077089725901639344262295081967,59
06/03/2010 10:44:08,42.669765,-71.42675,1080.47,30.56,4,29.783077089725901639344262295081967,59
06/03/2010 10:44:09,42.669765,-71.42675,1079.03,30.56,2,29.783077089725901639344262295081967,59
06/03/2010 10:44:10,42.66975,-71.42675,1079.75,30.56,2,29.783077089725901639344262295081967,59
