time,latitude,longitude,acceleration,light,temperature,sound,"cricket temperature probe"
"10/15/2009 14:46:48",42.9035,-71.072296,1.05,160.20,-13.27,0,28.8944
"10/15/2009 14:46:48",,,1.05,162.16,-13.27,0,29.00685
"10/15/2009 14:46:51",42.903816,-71.07218,1.13,164.11,-13.27,0,29.00685
"10/15/2009 14:46:52",42.903965,-71.07215,1.05,166.07,-13.27,0,29.1193
"10/15/2009 14:46:53",42.904133,-71.072105,1.02,164.11,-13.27,0,29.1193
"10/15/2009 14:46:54",42.90428,-71.07203,1.05,140.55,-13.27,0,29.23175
"10/15/2009 14:46:55",42.904453,-71.07198,1.13,168.02,-13.27,0,29.23175
"10/15/2009 14:46:56",42.9046,-71.071915,1.09,169.97,-13.27,0,29.23175
"10/15/2009 14:46:57",42.90475,-71.07187,1.05,171.91,-13.27,0,29.23175
"10/15/2009 14:46:58",42.904915,-71.071815,1.05,171.91,-13.27,0,29.3442
"10/15/2009 14:46:59",42.90507,-71.071754,1.09,173.86,-13.27,0,29.3442
"10/15/2009 14:47:00",42.905388,-71.07158,1.05,173.86,-13.27,1,29.3442
"10/15/2009 14:47:01",42.905552,-71.07149,1.09,175.80,-13.27,0,29.3442
"10/15/2009 14:47:02",42.905697,-71.07139,1.05,179.68,-13.27,0,29.3442
"10/15/2009 14:47:03",42.90587,-71.07128,1.02,183.56,-12.95,0,29.45665
"10/15/2009 14:47:05",42.906013,-71.07115,1.17,183.56,-12.95,0,29.45665
"10/15/2009 14:47:06",42.90617,-71.07104,1.02,183.56,-12.95,0,29.45665
"10/15/2009 14:47:07",42.906315,-71.0709,1.02,183.56,-12.95,0,29.45665
"10/15/2009 14:47:08",42.90647,-71.070755,1.05,187.42,-12.95,0,29.45665
"10/15/2009 14:47:09",42.906616,-71.07061,1.05,191.28,-12.95,0,29.45665
"10/15/2009 14:47:10",42.90676,-71.070465,0.98,193.21,-12.95,0,29.45665
"10/15/2009 14:47:11",42.906918,-71.070335,1.05,193.21,-12.95,0,29.5691
"10/15/2009 14:47:12",42.907063,-71.07018,0.98,191.28,-12.95,0,29.5691
"10/15/2009 14:47:13",42.90722,-71.07002,1.05,189.35,-12.95,0,29.5691
"10/15/2009 14:47:14",42.907505,-71.0697,1.02,193.21,-12.95,0,29.5691
"10/15/2009 14:47:15",42.90765,-71.06955,1.09,198.98,-12.95,0,29.5691
"10/15/2009 14:47:16",42.90778,-71.06938,1.09,204.73,-12.95,0,29.5691
"10/15/2009 14:47:17",42.907936,-71.0692,1.09,210.47,-12.95,0,29.5691
"10/15/2009 14:47:19",42.908047,-71.069016,1.13,216.19,-12.95,0,29.5691
"10/15/2009 14:47:20",42.908188,-71.06883,1.05,216.19,-12.95,0,29.5691
"10/15/2009 14:47:21",42.908318,-71.068634,0.98,218.10,-12.95,0,29.5691
"10/15/2009 14:47:22",42.908432,-71.068436,1.05,223.80,-12.95,0,29.5691
"10/15/2009 14:47:23",42.908554,-71.08233,1.09,229.48,-12.95,0,29.5691
"10/15/2009 14:47:24",42.90865,-71.08033,1.02,229.48,-12.95,0,29.68155
"10/15/2009 14:47:25",42.90875,-71.07816,0.98,235.15,-12.95,0,29.68155
"10/15/2009 14:47:26",42.908848,-71.076164,0.98,231.37,-12.95,0,29.68155
"10/15/2009 14:47:27",42.90895,-71.074,1.05,227.59,-12.95,0,29.68155
"10/15/2009 14:47:28",42.90913,-71.069496,1.13,227.59,-12.95,0,29.68155
"10/15/2009 14:47:29",42.90922,-71.07333,1.13,225.69,-12.63,0,29.68155
"10/15/2009 14:47:30",42.9093,-71.06652,1.13,225.69,-12.63,0,29.7940
"10/15/2009 14:47:31",42.90938,-71.0663,1.02,223.80,-12.63,0,29.7940
"10/15/2009 14:47:33",42.909466,-71.06608,0.98,223.80,-12.95,0,29.7940
"10/15/2009 14:47:34",42.909554,-71.06587,1.09,225.69,-12.63,0,29.7940
"10/15/2009 14:47:35",42.90962,-71.06567,1.05,229.48,-12.63,0,29.7940
"10/15/2009 14:47:36",42.909702,-71.065445,1.02,229.48,-12.63,0,29.7940
"10/15/2009 14:47:37",42.909782,-71.06523,1.02,227.59,-12.63,0,29.7940
"10/15/2009 14:47:38",42.909878,-71.06502,0.98,223.80,-12.63,0,29.7940
"10/15/2009 14:47:39",42.90997,-71.064804,1.02,221.90,-12.63,0,29.7940
"10/15/2009 14:47:40",42.91005,-71.06458,0.98,223.80,-12.63,0,29.7940
"10/15/2009 14:47:41",42.910133,-71.06438,1.09,223.80,-12.63,0,29.7940
"10/15/2009 14:47:42",42.910213,-71.06417,1.09,223.80,-12.63,0,29.7940
"10/15/2009 14:47:43",42.910366,-71.06379,1.05,225.69,-12.63,0,29.7940
"10/15/2009 14:47:44",42.91045,-71.063614,1.05,227.59,-12.63,0,29.7940
"10/15/2009 14:47:45",42.9105,-71.063484,1.05,227.59,-12.63,0,29.7940
"10/15/2009 14:47:45",,,1.05,227.59,-12.63,0,29.7940
"10/15/2009 14:47:48",42.91058,-71.0633,1.05,231.37,-12.63,0,29.68155
"10/15/2009 14:47:49",42.91062,-71.06325,1.05,231.37,-12.63,0,29.68155
"10/15/2009 14:47:50",42.910637,-71.0632,1.05,229.48,-12.63,0,29.68155
"10/15/2009 14:47:51",42.910652,-71.06319,0.98,229.48,-12.63,0,29.68155
"10/15/2009 14:47:52",42.910637,-71.0632,1.05,229.48,-12.63,0,29.68155
"10/15/2009 14:47:53",42.910637,-71.0632,1.02,229.48,-12.63,0,29.68155
"10/15/2009 14:47:54",42.910637,-71.06322,1.05,229.48,-12.63,0,29.68155
"10/15/2009 14:47:55",42.910637,-71.06322,1.05,229.48,-12.63,0,29.68155
"10/15/2009 14:47:56",42.910637,-71.06322,1.05,229.48,-12.63,0,29.68155
"10/15/2009 14:47:57",42.910637,-71.06323,1.02,229.48,-12.63,0,29.68155
"10/15/2009 14:47:58",42.910637,-71.06323,1.05,229.48,-12.30,0,29.7940
"10/15/2009 14:47:59",42.910637,-71.06323,1.05,229.48,-12.63,0,29.7940
"10/15/2009 14:47:59",,,1.09,229.48,-12.30,0,29.7940
